"","id","wls_cw_sysid","cw_code","cw_name","cw_source_name","cw_source_type","pod_number","cw_legislation","cw_date_created","cw_status","organization","organization_count","organization_type","water_system_name","cw_use","source_category","source_comments","water_treatment_type","water_treatment_location","connections_count","connected_cw_name","connected_cw_pod_number","natural_resource_district","health_authority","cw_assessment_ind","cw_assessment_url","water_qlty_obj_status","water_qlty_obj_overvw_rpt_url","water_qlty_obj_tech_rpt_url","water_qlty_obj_rpt_year","water_qlty_obj_type","organization_concerns","waterworks_damage","general_comments","feature_area_sqm","feature_length_m","objectid","se_anno_cad_data","watershed_area","og_watershed_area","prot_og_watershed_area","og_percentage","prot_percentage","at_risk_area","perc_at_risk"
"11","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4fb3",25,"460.011","Station Community Watershed","Station Creek","CR","PD35679","Forest Practices Code",1995-06-15,"DESIGNATED","District of New Hazelton",1,"Waterworks","District of New Hazelton Water System","PRIMARY","SW","SW","Disinfection & filtration","TREATMENT FACILITY",490,NA,NA,"Skeena Stikine Natural Resource District","Northern","No",NA,"Not completed by 2019",NA,NA,0,NA,NA,"No",NA,10021021.3147,15540.5396,75753,NA,1002.10213146911,45.8591992929459,36.8591992929474,4.58,3.68,8.99999999999851,0.9
"12","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4fb2",1,"500.001","Axe Community Watershed","Axe Creek","GW","PD36066","Forest Practices Code",1995-06-15,"DESIGNATED - REVIEW","Nisga'a Village of Laxgalts'ap",0,"None",NA,"OTHER SOURCE","GW","Deep wells","NA","NA",600,NA,NA,"Coast Mountains Natural Resource District","Northern","No",NA,"Not completed by 2019",NA,NA,0,NA,NA,NA,NA,2151719.0985,7151.1204,75729,NA,215.171909850021,0,0,0,0,0,0
"13","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4fb1",2,"400.010","Virginia Community Watershed","Virginia Brook","GW","PD35528","Forest Practices Code",1995-06-15,"DESIGNATED - REVIEW","Timberland Trailer Park",0,"None",NA,"OTHER SOURCE","GW","GW","NONE","NO TREATMENT",51,NA,NA,"Coast Mountains Natural Resource District","Northern","No",NA,"Not completed by 2019",NA,NA,0,NA,NA,NA,"Timberland Trailer Park does not draw water from this CW source.",52239.6779,959.411,75730,NA,5.22396778749786,0,0,0,0,0,0
"14","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4fb0",3,"920.006","Bird Community Watershed","Bird Creek","GW","PD62208","Forest Practices Code",1995-06-15,"DESIGNATED - REVIEW","Mill Bay Waterworks ",0,"None",NA,"OTHER SOURCE","GW","GW","Disinfection & filtration","NA",0,NA,NA,"South Island Natural Resource District","Vancouver Island","No",NA,"Not completed by 2019",NA,NA,0,NA,NA,NA,"The District no longer holds licences on Bird Creek",235596.1976,2677.7866,75731,NA,23.5596197562564,0,0,0,0,0,0
"15","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4faf",4,"100.087","Troll Community Watershed","Troll Creek","CR","PD40997","Forest Practices Code",1995-06-15,"DESIGNATED","Troll Resort Ski Hill",1,"Waterworks","Troll Creek Water ","PRIMARY","SW","SW ","NONE","NO TREATMENT",12,NA,NA,"Quesnel Natural Resource District","Northern","No",NA,"Not completed by 2019",NA,NA,0,NA,"Turbidity","No",NA,83427.7729,1395.0475,75732,NA,8.34277729372978,0,0,0,0,0,0
"16","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4fae",5,"900.015","Dutchman Community Watershed","Dutchman Creek","NA","PD45469","Forest Practices Code",1995-06-15,"DESIGNATED - REVIEW",NA,0,"None",NA,"ABANDONED","ABANDONED","ABANDONED","NONE","NO TREATMENT",0,NA,NA,"Chilliwack Natural Resource District","Fraser","No",NA,"Not completed by 2019",NA,NA,0,NA,NA,NA,"All 7 water licenses are abandoned.",31045.4229,834.6468,75733,NA,3.10454229375185,0,0,0,0,0,0
"17","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4fad",6,"900.042","Mcnair Community Watershed","McNair Creek","CR","PD63824","Forest Practices Code",1995-06-15,"DESIGNATED - REVIEW","Sunshine Coast Regional District",1,"Waterworks",NA,"OTHER SOURCE","Unknown","Unknown","NONE","NO TREATMENT",0,NA,NA,"Sunshine Coast Natural Resource District","Vancouver Coastal","Yes","http://a100.gov.bc.ca/pub/acat/public/viewReport.do?reportId=8648","Not completed by 2019",NA,NA,0,NA,NA,NA,"There are 10 current domestic licenses on PD46260 downstream. The Sunshine Coast Regional District is considering this for future use but at this point there are no operations on McNair Creek ",18402346.9046,23486.4318,75734,NA,1840.23469046226,485.611190492818,153.013320321014,26.39,8.31,332.597870171804,18.07
"18","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4fac",7,"119.001","Agnew Community Watershed","Agnew Creek","CR","PD43534","Forest Practices Code",1995-06-15,"DESIGNATED","Regional Municipality of Whistler",1,"Waterworks",NA,"EMERGENCY BACKUP","SW (other CW)","SW (other CW)","NA","NA",0,NA,NA,"Sea to Sky Natural Resource District","Vancouver Coastal","No",NA,"Not completed by 2019",NA,NA,0,NA,NA,NA,"Currently only used for firefighting but there is the potential to reactivate as there are limited other sources for municipal water, and currently municipal sources may not be insufficient in times of drought or in the likely case of future growth.",355667.3687,3018.8812,75735,NA,35.5667368687494,17.2606914280161,8.65465772166103,48.53,24.33,8.6060337063551,24.2
"19","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4fab",8,"150.006","Rim Rock Community Watershed","Rim Rock Creek","GW","PD37115","Forest Practices Code",1995-06-15,"DESIGNATED","Cariboo Regional District",1,"Waterworks","Alexis Creek Waterworks","OTHER SOURCE","GW","GW","NA","NA",0,NA,NA,"Cariboo-Chilcotin Natural Resource District","Interior","No",NA,"Not completed by 2019",NA,NA,0,NA,NA,NA,"Either the PODs or the watershed is mapped in the wrong location, because they are 350m away from each other. There are several domestic users and small water systems on this POD including the school district and RCMP detachment. The Rim Rock water system was taken out of service years ago. A deep well and reservoir system has replaced it as the source for the town of Alexis Creek. ",292821.1125,2574.0145,75736,NA,29.2821112500019,0,0,0,0,0,0
"20","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4faa",9,"120.004","Brook Community Watershed","Brook Creek","CR","PD53563","Forest Practices Code",1995-06-15,"DESIGNATED","Brookmere Water Users Community",1,"Water Users' Community","Brookmere Water Users Community","PRIMARY","SW","SW","NONE","NO TREATMENT",45,NA,NA,"Cascades Natural Resource District","Interior","Yes","http://a100.gov.bc.ca/pub/acat/public/viewReport.do?reportId=8351","Not completed by 2019",NA,NA,0,NA,"Range use, forestry","Yes","A community water supply was built in 1998 from a small dam on Brook Creek. The water is not potable and must be boiled to prevent waterborne illnesses such as Giardia.  The village has a few permanent residents, with the majority of the residences used as vacation or summer homes.",30094483.5019,31871.5731,75737,NA,3009.44835019346,170.668470545867,22,5.67,0.73,148.668470545867,4.94
"21","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4fa9",10,"900.040","Mashiter Community Watershed",NA,"CR","PD44544","Forest Practices Code",1995-06-15,"DESIGNATED","District of Squamish",1,"Waterworks",NA,"SECONDARY","GW & SW","GW - primary, SW - secondary","Disinfection","INTAKE",8000,"Mashiter Creek, Stawamus River","PD44544, PD44526","Sea to Sky Natural Resource District","Vancouver Coastal","Yes","http://a100.gov.bc.ca/pub/acat/public/viewReport.do?reportId=8696","Not completed by 2019",NA,NA,0,NA,"Recreation, industry, wildlife",NA,"Water source is primarily groundwater for the last 4 years. They maintain the two CW surface sources for emergencies, but try not to use them due to quality/quantity issues. The wells are not GUDI. The number of connections is the total for the Squamish system (Mashiter and Stawamus). There is no treatment facility - just liquid chlorine injections at three well sources. The amount diverted refers to the amount of water diverted from surface water (none).",41514986.3867,32462.0064,75738,NA,4151.49863867647,270.514823791863,169.961810621261,6.52,4.09,100.553013170603,2.42
"22","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4fa8",11,"310.025","Hydraulic Community Watershed","Hydraulic Creek","CR","PD57358","Forest Practices Code",1995-06-15,"DESIGNATED","City of Kelowna",1,"Waterworks","South East Kelowna Irrigation District","PRIMARY","SW","SW ","Disinfection","INTAKE",2700,"Affleck Creek, Hydraulic Creek, Klo Creek, Pooley Creek ","PD58241, PD57565, PD56314, PD57358","Okanagan Shuswap Natural Resource District","Interior","Yes","http://a100.gov.bc.ca/pub/acat/public/viewReport.do?reportId=8518","Complete","https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-objectives/hydraulic_creek_okanagan_area.pdf","https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-objectives/wqo_tech_hydraulic.pdf",1990,"MOE Report","Forestry, range use, recreation","Yes","The City of Kelowna has taken over the SEKID service area as of June 2018. In 2016, Toby Pike reported the numbers for all four of the community watersheds that they use combined (Affleck, Hydraulic, Klo, Mount Currie).  The water supply source is about 94% surface, 6% groundwater, not GUDI.",93792477.8342,65422.5404,75739,NA,9379.24778342073,758.914685922339,183.13914168931,8.09,1.95,575.775544233029,6.14
"23","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4fa7",12,"TEX.004","Ball Park Community Watershed","Ball Park Creek","OTH","PD45634","Forest Practices Code",1999-10-22,"DESIGNATED - REVIEW","Gillies Bay Improvement District",0,"None","Gillies Bay Improvement District","OTHER SOURCE","Unknown","NOT USED","NA","NA",0,NA,NA,"Sunshine Coast Natural Resource District","Vancouver Coastal","Yes","http://a100.gov.bc.ca/pub/acat/public/viewReport.do?reportId=8284","Not completed by 2019",NA,NA,0,NA,NA,NA,"The Improvement District maintains the license as an emergency backup supply, but they do not maintain infrastructure on the creek.",9281342.5865,13154.2627,75740,NA,928.134258650218,50.9999506108999,17.9999506109041,5.49,1.94,32.9999999999958,3.56
"24","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4fa6",13,"100.064","George Community Watershed","George Creek","CR","PD47865","Forest Practices Code",1995-06-15,"DESIGNATED","Skuppah Indian Band",1,"Waterworks","IR #2 Water Treatment","PRIMARY","SW","SW","Disinfection & filtration","TREATMENT FACILITY",117,"Inklyulnkinatko Creek, McIntyre Creek, George Creek","PD47865, PD70456, PD70104","Cascades Natural Resource District","Interior","No",NA,"Not completed by 2019",NA,NA,0,NA,"Water quantity","No","Surface water from Inklyulnkinatko, McIntyre, and George all are treated at the IR#2 water treatment facility.  The number of connections is shared for these three watersheds.",4695864.2815,10465.201,75741,NA,469.586428149946,0,0,0,0,0,0
"25","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4fa5",14,"119.011","Mccullock Creek Community Watershed","McCullock Creek","CR","PD43709","Forest Practices Code",1995-06-15,"DESIGNATED","Lillooet Lake Estates Ltd.",1,"Waterworks","Lillooet Lake Estates Limited","SECONDARY","SW (other) & SW (CW)","SW - primary (Not CW - Babicos Creek), SW - secondary (CW)","Disinfection x2","INTAKE",150,NA,NA,"Sea to Sky Natural Resource District","Vancouver Coastal","No",NA,"Not completed by 2019",NA,NA,0,NA,NA,"No",NA,3337058.7588,8572.2749,75742,NA,333.705875875041,0,0,0,0,0,0
"26","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4fa4",42,"930.008","Goudie Community Watershed","Goudie Creek","CR","PD31673","Forest Practices Code",1995-06-15,"DESIGNATED","Sheringham Water Works",1,"Waterworks",NA,"PRIMARY","SW","SW","Disinfection x2 & filtration x2","INTAKE",126,NA,NA,"South Island Natural Resource District","Vancouver Island","No",NA,"Not completed by 2019",NA,NA,0,NA,"Forestry","Yes",NA,667506.1009,3632.8285,75770,NA,66.7506100937562,0,0,0,0,0,0
"27","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4fa3",43,"300.065","Dry Gulch Community Watershed","Dry Gulch Creek","GW","PD24546","Forest Practices Code",1995-06-15,"DESIGNATED","Dry Gulch Water Users, other domestic and commercial water users ",3,"Several Water Users","Dry Gulch Water Users's Community","PRIMARY","SW","SW","NA","NOT SPECIFIED",0,NA,NA,"Rocky Mountain Natural Resource District","Interior","No",NA,"Not completed by 2019",NA,NA,0,NA,NA,"Long term","POD should be updated to PD24546. There are 32 domestic licenses on POD to PD24546, used by the Dry Gulch Water Users Community. The community has been on a Boil Water Notice since 2011. Some community members may use additional sources.",4476475.3406,9497.4486,75771,NA,447.647534062336,0,0,0,0,0,0
"28","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4fa2",44,"310.049","Pooley Community Watershed","Pooley Creek","CR","PD58241","Forest Practices Code",1995-06-15,"DESIGNATED","City of Kelowna",1,"Waterworks","South East Kelowna Irrigation District","PRIMARY","SW","SW ","Disinfection","INTAKE",2700,"Affleck Creek, Hydraulic Creek, Klo Creek, Pooley Creek ","PD58241, PD57565, PD56314, PD57358","Okanagan Shuswap Natural Resource District","Interior","No",NA,"Not completed by 2019",NA,NA,0,NA,"Forestry, range use, recreation","Yes","The City of Kelowna has taken over the SEKID service area as of June 2018. In 2016, Toby Pike reported the numbers for all four of the community watersheds that they use combined (Affleck, Hydraulic, Klo, Mount Currie).  The water supply source is about 94% surface, 6% groundwater, not GUDI.",18686202.8387,18080.0799,75772,NA,1868.62028386953,70.3744414944485,35.548985073483,3.77,1.9,34.8254564209655,1.86
"29","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4fa1",45,"900.066","Thulin Lake Community Watershed","Thulin Lake","LK","PD44931","Forest Practices Code",1999-10-22,"DESIGNATED","Lund Waterworks District",1,"Waterworks",NA,"PRIMARY","SW","SW","Disinfection","TREATMENT FACILITY",105,NA,NA,"Sunshine Coast Natural Resource District","Vancouver Coastal","No",NA,"Not completed by 2019",NA,NA,0,NA,"Forestry, range use",NA,NA,6887871.7369,11132.3061,75773,NA,688.787173693672,0,0,0,0,0,0
"30","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4fa0",46,"BOW.011","Josephine Community Watershed","Josephine Creek","CR","PD44780","Forest Practices Code",1995-06-15,"DESIGNATED","Owners of Strata Plan VR 704",1,"Several Water Users",NA,"PRIMARY","SW","SW",NA,"NOT SPECIFIED",6,NA,NA,"Chilliwack Natural Resource District","Vancouver Coastal","No",NA,"Not completed by 2019",NA,NA,0,NA,NA,NA,"6 current domestic and 1 waterworks license (OWNERS OF STRATA PLAN VR 704)  at this POD",1771205.5619,5835.6531,75774,NA,177.120556193677,0,0,0,0,0,0
"31","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4f9f",47,"930.009","Haggard Lake Community Watershed","Haggard Lake","LK","PD30149","Forest Practices Code",1999-07-16,"DESIGNATED","Strata Corp 1238",1,"Waterworks",NA,"PRIMARY","SW","SW",NA,"NA",62,NA,NA,"South Island Natural Resource District","Vancouver Island","No",NA,"Not completed by 2019",NA,NA,0,NA,NA,NA,NA,182840.1286,1669.4852,75775,NA,18.2840128625073,1.21852377585564,0,6.66,0,1.21852377585564,6.66
"32","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4f9e",48,"110.006","Domitian Creek Community Watershed","Domitian Creek","GW","PD43357","Forest Practices Code",2004-05-14,"DESIGNATED - REVIEW","Sts'ailes ",0,"None","Unknown","OTHER SOURCE","GW","GW","NA","NA",0,NA,NA,"Chilliwack Natural Resource District","Fraser","No",NA,"Not completed by 2019",NA,NA,0,NA,NA,NA,"Contact stated that two wells serve the community of Sts’ailes.  The contact was unsure if the wells were in this community watershed. One well is located in the community and the other along Morris Valley Road opposite side the Gas Bar/Store.",1694243.6381,6151.8156,75776,NA,169.424363812441,0,0,0,0,0,0
"33","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4f9d",49,"920.023","Desmond Community Watershed","Desmond Brook","NA","PD32537","Forest Practices Code",1995-06-15,"DESIGNATED - REVIEW","NA",0,"None","NA","ABANDONED","ABANDONED","ABANDONED","NONE","NO TREATMENT",0,NA,NA,"South Island Natural Resource District","Vancouver Island","No",NA,"Not completed by 2019",NA,NA,0,NA,NA,NA,"All licenses are abandoned.",35706.3592,729.8663,75777,NA,3.57063591875541,0,0,0,0,0,0
"34","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4f9c",50,"120.007","Clinton Community Watershed","Clinton Creek","CR","PD46006","Forest Practices Code",1995-06-15,"DESIGNATED","Village of Clinton",1,"Waterworks","Clinton Water System","PRIMARY","SW","SW","Disinfection & filtration","TREATMENT FACILITY",350,NA,NA,"100 Mile House Natural Resource District","Interior","No",NA,"Complete","https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-objectives/bonaparte_river.pdf","https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-objectives/wqo_tech_bonaparte.pdf",1986,"MOE Report",NA,"No",NA,66299620.747,47523.1624,75778,NA,6629.96207470153,1195.82077168289,592.070926393308,18.04,8.93,603.749845289582,9.11
"35","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4f9b",51,"TEX.001","Cranby Community Watershed","Cranby Creek","CR","PD45633","Forest Practices Code",1995-06-15,"DESIGNATED","Gillies Bay Improvement District",1,"Waterworks","Gillies Bay Improvement District","PRIMARY","SW","SW","Disinfection","TREATMENT FACILITY",230,NA,NA,"Sunshine Coast Natural Resource District","Vancouver Coastal","Yes","http://a100.gov.bc.ca/pub/acat/public/viewReport.do?reportId=8284","Not completed by 2019",NA,NA,0,NA,"Not specified","Yes","Intake is on Cranby Lake.",8898571.5459,12370.0574,75779,NA,889.857154587437,18.3493859017763,4.93890952551737e-05,2.06,0,18.349336512681,2.06
"36","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4f9a",52,"460.005","John Brown Community Watershed","John Brown Creek","OCW","PD35673","Forest Practices Code",1995-06-15,"DESIGNATED - REVIEW","Moricetown Band",0,"None",NA,"OTHER SOURCE","SW (other CW)","SW (other CW)",NA,"NOT SPECIFIED",0,NA,NA,"Skeena Stikine Natural Resource District","Northern","No",NA,"Not completed by 2019",NA,NA,0,NA,NA,NA,"Band Office directed interviewer to Fisheries Office at 250 847 3996 where Brian Michell said that this watershed is abandoned and the water intake is now at Corya.",79486693.0711,44539.6769,75780,NA,7948.66930710644,1055.24038041028,188.815435043713,13.28,2.38,866.424945366566,10.9
