"","cw_name","cw_source_name","watershed_area","og_watershed_area","prot_og_watershed_area","og_percentage","prot_percentage","at_risk_area","perc_at_risk"
"34","Murray Community Watershed","Murray Creek",NA,NA,NA,NA,NA,NA,NA
"35","Naramata Community Watershed","Naramata Creek",3386.62412124995,501.770270662874,229.911850955374,14.82,6.79,271.8584197075,8.03
"36","Nekliptum Creek (North Channel)","Nekliptum Creek (N. Channel)",253.624211750129,68.2356728544251,68.2356728544251,26.9,26.9,0,0
"37","Nepuchin Community Watershed","Nepuchin Creek",738.427559393815,26.6762248430224,26.6762248430224,3.61,3.61,0,0
"38","Newcastle Community Watershed","Newcastle Creek",911.729926481236,363.512783349103,138.032025200603,39.87,15.14,225.4807581485,24.73
"39","Number One Community Watershed","Number One Creek",33.2142951242906,26.0799412537312,0,78.52,0,26.0799412537312,78.52
"40","Penticton Community Watershed","Penticton Creek",17391.4804420238,1674.7395575692,461.129022513786,9.63,2.65,1213.61053505542,6.98
"41","Powers Community Watershed","Powers Creek",13596.2643269711,1435.51516003587,220.932358719967,10.56,1.62,1214.5828013159,8.93
"42","Procter Community Watershed","Procter Creek",825.16458024988,109.61623519028,89.1083028277159,13.28,10.8,20.5079323625637,2.49
"43","Quaee Community Watershed","Quaee Creek",386.422613206062,100.014357244557,0,25.88,0,100.014357244557,25.88
"44","Queen Charlotte City Community Watershed","Jervis Brook",1632.89285960789,876.653333747188,0,53.69,0,876.653333747188,53.69
"45","Rover Community Watershed","Rover Creek",4277.47472189287,595.640572104543,128,13.93,2.99,467.640572104543,10.93
"46","Sandy Community Watershed","Sandy Creek",1212.96374708039,299.871012899146,49,24.72,4.04,250.871012899146,20.68
"47","Sitkum Community Watershed","Sitkum Creek",2702.79052644323,62.3028899968982,0,2.31,0,62.3028899968982,2.31
"48","South Murphy Community Watershed","South Murphy Creek",278.972627343821,97.172161134152,68.1295967162053,34.83,24.42,29.0425644179467,10.41
"49","Springer Community Watershed","Springer Creek",NA,NA,NA,NA,NA,NA,NA
"50","Stawamus Community Watershed",NA,4014.82457328077,982.444615115896,371.814269329375,24.47,9.26,610.630345786521,15.21
"51","Topping Community Watershed","Topping Creek-FR",2098.7923796314,93.4956214404488,23.4956214404489,4.45,1.12,69.9999999999999,3.34
"52","Trout Community Watershed","Trout Creek",71616.0892430867,6037.06168043589,1438.12641564973,8.43,2.01,4598.93526478616,6.42
"53","Tsulquate Community Watershed","Tsulquate River",4475.58203080282,1041.31669134616,246.362976134402,23.27,5.5,794.95371521176,17.76
"54","Vernon Community Watershed","Vernon Creek",NA,NA,NA,NA,NA,NA,NA
